STATE_NAME_2011,STATE_CODE_2011,LGA_NAME_2011,LGA_CODE_2011,SLA_NAME_2011,SLA_MAINCODE_2011
Victoria,2,Macedon Ranges (S),24130,Macedon Ranges (S) - Kyneton,235204131
Victoria,2,Macedon Ranges (S),24130,Macedon Ranges (S) - Romsey,235204134
Victoria,2,Macedon Ranges (S),24130,Macedon Ranges (S) Bal,235204135
Victoria,2,Manningham (C),24210,Manningham (C) - East,205504211
Victoria,2,Manningham (C),24210,Manningham (C) - West,205504214
Victoria,2,Mansfield (S),24250,Mansfield (S),240154250
Victoria,2,Maribyrnong (C),24330,Maribyrnong (C),205104330
Victoria,2,Maroondah (C),24410,Maroondah (C) - Croydon,205554411
Victoria,2,Maroondah (C),24410,Maroondah (C) - Ringwood,205554412
Victoria,2,Melbourne (C),24600,Melbourne (C) - Inner,205054601
Victoria,2,Melbourne (C),24600,Melbourne (C) - Remainder,205054608
Victoria,2,Melbourne (C),24600,Melbourne (C) - S'bank-D'lands,205054605
Victoria,2,Melton (S),24650,Melton (S) - East,205204651
Victoria,2,Melton (S),24650,Melton (S) Bal,205204654
Victoria,2,Mildura (RC),24780,Mildura (RC) - Pt A,230054781
Victoria,2,Mildura (RC),24780,Mildura (RC) - Pt B,230104782
Victoria,2,Mitchell (S),24850,Mitchell (S) - North,240204851
Victoria,2,Mitchell (S),24850,Mitchell (S) - South,240204854
Victoria,2,Moira (S),24900,Moira (S) - East,240104901
Victoria,2,Moira (S),24900,Moira (S) - West,240104904
Victoria,2,Monash (C),24970,Monash (C) - South-West,205504971
Victoria,2,Monash (C),24970,Monash (C) - Waverley East,205504974
Victoria,2,Monash (C),24970,Monash (C) - Waverley West,205504975
Victoria,2,Moonee Valley (C),25060,Moonee Valley (C) - Essendon,205105063
Victoria,2,Moonee Valley (C),25060,Moonee Valley (C) - West,205105065
Victoria,2,Moorabool (S),25150,Moorabool (S) - Bacchus Marsh,220105151
Victoria,2,Moorabool (S),25150,Moorabool (S) - Ballan,220105154
Victoria,2,Moorabool (S),25150,Moorabool (S) - West,220105155
Victoria,2,Moreland (C),25250,Moreland (C) - Brunswick,205255251
Victoria,2,Moreland (C),25250,Moreland (C) - Coburg,205255252
Victoria,2,Moreland (C),25250,Moreland (C) - North,205255253
Victoria,2,Mornington Peninsula (S),25340,Mornington P'sula (S) - East,205905341
Victoria,2,Mornington Peninsula (S),25340,Mornington P'sula (S) - South,205905344
Victoria,2,Mornington Peninsula (S),25340,Mornington P'sula (S) - West,205905345
Victoria,2,Mount Alexander (S),25430,Mount Alexander (S) - C'maine,235105431
Victoria,2,Mount Alexander (S),25430,Mount Alexander (S) Bal,235105434
Victoria,2,Moyne (S),25490,Moyne (S) - North-East,215055491
Victoria,2,Moyne (S),25490,Moyne (S) - North-West,215055493
Victoria,2,Moyne (S),25490,Moyne (S) - South,215055496
Victoria,2,Murrindindi (S),25620,Murrindindi (S) - East,240205621
Victoria,2,Murrindindi (S),25620,Murrindindi (S) - West,240205622
Victoria,2,Nillumbik (S),25710,Nillumbik (S) - South,205405713
Victoria,2,Nillumbik (S),25710,Nillumbik (S) - South-West,205405715
Victoria,2,Nillumbik (S),25710,Nillumbik (S) Bal,205405718
Victoria,2,Northern Grampians (S),25810,N. Grampians (S) - St Arnaud,225055811
Victoria,2,Northern Grampians (S),25810,N. Grampians (S) - Stawell,225055814
Victoria,2,Port Phillip (C),25900,Port Phillip (C) - St Kilda,205055901
Victoria,2,Port Phillip (C),25900,Port Phillip (C) - West,205055902
Victoria,2,Pyrenees (S),25990,Pyrenees (S) - North,220155991
Victoria,2,Pyrenees (S),25990,Pyrenees (S) - South,220155994
Victoria,2,Queenscliffe (B),26080,Queenscliffe (B),210106080
Victoria,2,South Gippsland (S),26170,South Gippsland (S) - Central,255206171
Victoria,2,South Gippsland (S),26170,South Gippsland (S) - East,255206174
Victoria,2,South Gippsland (S),26170,South Gippsland (S) - West,255206175
Victoria,2,Southern Grampians (S),26260,S. Grampians (S) - Hamilton,215106261
Victoria,2,Southern Grampians (S),26260,S. Grampians (S) - Wannon,215106264
Victoria,2,Southern Grampians (S),26260,S. Grampians (S) Bal,215106265
Victoria,2,Stonnington (C),26350,Stonnington (C) - Malvern,205656352
Victoria,2,Stonnington (C),26350,Stonnington (C) - Prahran,205056351
Victoria,2,Strathbogie (S),26430,Strathbogie (S),240156430
Victoria,2,Surf Coast (S),26490,Surf Coast (S) - East,210106493
Victoria,2,Surf Coast (S),26490,Surf Coast (S) - West,210106495
Victoria,2,Swan Hill (RC),26610,Swan Hill (RC) - Central,230156611
Victoria,2,Swan Hill (RC),26610,Swan Hill (RC) - Robinvale,230156614
Victoria,2,Swan Hill (RC),26610,Swan Hill (RC) Bal,230156616
Victoria,2,Towong (S),26670,Towong (S) - Pt A,245056671
Victoria,2,Towong (S),26670,Towong (S) - Pt B,245156672
Victoria,2,Wangaratta (RC),26700,Wangaratta (RC) - Central,245106701
Victoria,2,Wangaratta (RC),26700,Wangaratta (RC) - North,245106704
Victoria,2,Wangaratta (RC),26700,Wangaratta (RC) - South,245106705
Victoria,2,Warrnambool (C),26730,Warrnambool (C),215016730
Victoria,2,Wellington (S),26810,Wellington (S) - Alberton,250156811
Victoria,2,Wellington (S),26810,Wellington (S) - Avon,250156812
Victoria,2,Wellington (S),26810,Wellington (S) - Maffra,250156813
Victoria,2,Wellington (S),26810,Wellington (S) - Rosedale,250156814
Victoria,2,Wellington (S),26810,Wellington (S) - Sale,250156815
Victoria,2,West Wimmera (S),26890,West Wimmera (S),225056890
Victoria,2,Whitehorse (C),26980,Whitehorse (C) - Box Hill,205506981
Victoria,2,Whitehorse (C),26980,Whitehorse (C) - Nunawading E.,205506984
Victoria,2,Whitehorse (C),26980,Whitehorse (C) - Nunawading W.,205506985
Victoria,2,Whittlesea (C),27070,Whittlesea (C) - North,205407071
Victoria,2,Whittlesea (C),27070,Whittlesea (C) - South-East,205407075
Victoria,2,Whittlesea (C),27070,Whittlesea (C) - South-West,205407076
Victoria,2,Wodonga (RC),27170,Wodonga (RC),245057170
Victoria,2,Wyndham (C),27260,Wyndham (C) - North,205207261
Victoria,2,Wyndham (C),27260,Wyndham (C) - South,205207264
Victoria,2,Wyndham (C),27260,Wyndham (C) - West,205207267
Victoria,2,Yarra (C),27350,Yarra (C) - North,205057351
Victoria,2,Yarra (C),27350,Yarra (C) - Richmond,205057352
Victoria,2,Yarra Ranges (S),27450,Yarra Ranges (S) - Central,205607451
